REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Saint-Louis,1,Deuxième Session,,4.08,NON ADMIS,1,2018,M,S2,LYCEE BABA DIONGUE,Académie de Saint - Louis,PODOR,LYCEE BABA DIONGUE,1,Pass,1,2009,12.37,11.76,9.94,9.13,11,9,11,8,10,9.0,260,10.0,10.0,9.59,21,153.0,283,4.08,315
 Ziguinchor,1,Première Session,Passable,10.08,PASSE,1,2018,M,S1,LYCEE DJIGNABO,Académie de Ziguinchor,ZIGUINCHOR,COLLEGE SAINT CHARLES LWANGA,1,ABien,1,2005,13.5,11.41,10.99,11.97,10,15,13,12,10,9.0,333,12.33,12.33,12.5,18,310.0,15,110.08,94
 Fatick,1,Deuxième Session,,4.14,NON ADMIS,1,2018,F,S2,LYCEE DE DIARRERE,Académie de Fatick,DIOUROUP,LYCEE DE DIOUROUP,2,Pass,2,2006,10.6,12.07,10.08,10.39,10,11,8,4,3,6.0,209,8.04,10.69,11.41,21,148.2,292,4.14,313
 Kaolack,1,Deuxième Session,Passable,11.63,PASSE,1,2018,M,S2,COLLEGE PRIVE EL HADJI OUSMANE KANE,Académie de Kaolack,KAOLACK,COLLEGE PRIVE MBOUTOU SOW,2,ABien,1,2010,12.53,13.76,15.09,15.13,19,14,10,3,12,12.0,334,12.85,12.85,14.76,21,261.25,74,11.63,106
 Dakar,1,Deuxième Session,,5.58,NON ADMIS,1,2018,F,S2,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE BANQUE ISLAMIQUE,1,Pass,2,1998,11.76,10.62,9.58,7.46,10,9,7,6,4,9.0,213,8.19,10.04,11.41,20,144.0,298,5.58,268
 Louga,1,Deuxième Session,,3.63,NON ADMIS,1,2018,F,S2,LYCEE DE GUEOUL,Académie de Louga,GUEOUL,LYCEE DE GUEOUL,2,Pass,2,2004,11.77,10.14,10.65,10.91,17,6,7,9,6,8.0,236,9.08,11.27,12.76,20,179.54999999999998,233,3.63,323
 Dakar,1,Deuxième Session,,8.34,AUTORISE,1,2018,M,S2,LYCEE SEYDINA LIMAMOULAYE,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE BANQUE ISLAMIQUE,1,Pass,1,1998,9.95,12.45,10.36,11.88,18,12,5,11,4,6.0,273,10.5,10.5,11.65,20,234.0,139,8.34,201
 Dakar,1,Première Session,Passable,10.87,PASSE,1,2017,F,S1,LYCEE THIERNO SAIDOU NOUROU TALL,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,1998,14.8,12.05,11.15,11.51,8,9,11,11,16,8.0,270,10.0,10.0,8.5,20,226.0,154,110.87,68
 Thiès,1,Première Session,Bien,14.19,PASSE,1,2018,M,S1,LYCEE ABABACAR SY,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,1,Pass,1,2011,13.1,12.08,12.4,11.82,10,12,6,9,9,7.0,270,10.0,10.0,11.0,18,272.0,48,114.19,8
 Dakar,1,Première Session,Passable,10.51,PASSE,1,2017,M,S1,LYCEE COUMBA DIACK GUEYE KHOMBOLE,Académie de Thiès,KHOMBOLE,LYCEE COUMBA DIACK GUEYE KHOMBOLE,1,Pass,1,2006,12.59,13.53,10.47,10.72,9,12,10,6,10,9.0,270,10.0,10.0,10.5,21,253.0,87,110.51,81
 Kaolack,1,Deuxième Session,,9.34,AUTORISE,1,2018,M,S1,LYCEE SERIGNE KHASSIM MBACKE GUINGUINEO,Académie de Kaolack,GUINGUINEO,LYCEE SERIGNE KHASSIM MBACKE GUINGUINEO,1,Pass,1,1998,15.31,12.16,10.18,11.28,10,10,8,8,12,12.0,270,10.0,10.0,10.0,20,250.0,93,9.34,163
 Thiès,1,Deuxième Session,,4.71,NON ADMIS,1,2017,M,S1,LYCEE DE THIADIAYE,Académie de Thiès,THIADIAYE,LYCEE DE THIADIAYE,1,Pass,2,1996,13.45,12.09,9.97,9.19,7,11,12,5,8,7.0,242,8.96,10.0,9.5,22,229.0,148,4.71,299
 Kaolack,1,Deuxième Session,Passable,10.31,PASSE,1,2018,F,S2,LYCEE DE NDOFFANE,Académie de Kaolack,NDOFFANE,LYCEE DE NDOFFANE,1,Pass,1,1999,12.82,12.32,10.58,11.0,12,11,11,7,11,7.0,260,10.0,10.0,9.88,19,184.0,226,10.31,138
 Ziguinchor,1,Deuxième Session,,3.78,NON ADMIS,1,2018,F,S2,LYCEE DJIGNABO,Académie de Ziguinchor,ZIGUINCHOR,COLLEGE SAINT CHARLES LWANGA,2,Pass,2,2009,11.28,11.59,11.74,11.59,5,11,10,5,7,9.0,223,8.58,10.73,10.65,21,105.44999999999999,343,3.78,322
Sédhiou,1,Deuxième Session,Passable,11.17,PASSE,1,2017,M,S3,LYCEE TECHNIQUE AMADOU BAMBA,Académie de Diourbel,DIOURBEL,LYCEE TECHNIQUE AMADOU BAMBA,1,Pass,2,2010,12.7,11.17,9.28,8.72,5,5,13,8,9,,288,8.0,10.67,10.0,19,185.0,225,11.17,113
