REGION_DE_NAISSANCE,CREDIT,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Type candidature,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Résultat,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,COME,AFTA,EPAT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1,S1,S2,S3,Homme,Femme,Série_Encode,Sexe_Encode,RESULTAT_Encode,SESSION_Encode,MENTION_Encode,Academie perf.,Residence perf.,Résidence_Encode,Ets. de provenance_Encode,Centre d'Ec._Encode,Académie de l'Ets. Prov._Encode,REGION_DE_NAISSANCE_Encode
Kaffrine,60,1,Deuxième Session,Passable,11.1,PASSE,1,2018,M,S2,LYCEE EL HADJI IBRAHIMA BA KOUNGHEUL,O,Académie de Kaffrine,KOUNGHEUL,LYCEE EL HADJI IBRAHIMA BA KOUNGHEUL,1,Pass,ADM,1,2010,15.12,12.94,10.79,11.02,14,12,8,5,7,12,0.0,0.0,0.0,280,10.77,10.77,12.59,18,198.0,22,11.1,197,0,1,0,1,0,1,1,2,0,0,10.516153846153847,10.54,50,212,119,3,12
 Louga,60,1,Première Session,Passable,11.29,PASSE,1,2018,F,S2,LYCEE DE TIVAOUANE PEULH,O,Académie de Rufisque,TIVAOUANE PEULH,LYCEE DE TIVAOUANE PEULH,2,Pass,ADM,1,2010,11.35,11.87,10.85,10.57,9,8,9,8,11,13,0.0,0.0,0.0,260,10.0,10.0,10.06,19,155.79999999999998,414,111.28999999999999,41,0,1,0,0,1,1,0,2,1,0,10.467735849056604,10.333333333333334,118,200,112,10,5
 Ziguinchor,60,1,Première Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE DJIGNABO,O,Académie de Ziguinchor,ZIGUINCHOR,COLLEGE SAINT CHARLES LWANGA,1,Pass,ADM,1,2000,10.77,11.54,11.63,11.86,9,11,11,6,6,11,0.0,0.0,0.0,260,10.0,10.0,10.41,18,167.0,220,110.0,159,0,1,0,1,0,1,1,2,1,0,10.608695652173912,10.711428571428572,122,209,17,15,10
0,60,1,Deuxième Session,Passable,10.0,PASSE,1,2018,M,S2,LYCEE DE BARGNY,O,Académie de Rufisque,BARGNY,LYCEE DE BARGNY,2,Pass,ADM,2,2008,10.37,11.32,10.62,12.06,12,10,10,6,3,5,0.0,0.0,0.0,218,8.38,11.23,12.35,23,121.6,741,10.0,367,0,1,0,1,0,1,1,2,0,0,10.467735849056604,10.41,4,115,38,10,11
 Kolda,60,1,Deuxième Session,Passable,10.26,PASSE,1,2018,M,S2,LYCEE DE GUIRO YERO BOCAR,O,Académie de Kolda,KOLDA,LYCEE DE SALIKEGNE,4,Pass,ADM,2,2007,12.56,10.25,10.45,10.3,8,11,6,11,7,8,0.0,0.0,0.0,230,8.85,10.62,10.71,21,114.75,766,10.26,302,0,1,0,1,0,1,1,2,0,0,10.466363636363637,10.57375,48,135,95,5,4
 Saint-Louis,60,1,Première Session,Passable,10.46,PASSE,1,2018,F,S2,LYCEE VALDIODIO NDIAYE,O,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,Pass,ADM,1,2000,13.43,10.09,11.94,11.54,10,14,14,11,10,9,0.0,0.0,0.0,292,11.23,11.23,11.06,18,174.0,120,110.46000000000001,107,0,1,0,0,1,1,0,2,1,0,10.433076923076923,10.3396,41,252,15,4,7
 Dakar,0,1,Deuxième Session,NULL,0.19,NON ADMIS,1,2018,M,S2,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,O,Académie de Pikine - Guédiawaye,KEUR MASSAR,LYCEE ZONE DE RECASEMENT DE KEUR MASSAR ,2,Pass,ADM,1,1998,10.9,9.74,10.74,11.21,8,12,10,12,18,11,0.0,0.0,0.0,284,10.92,10.92,10.47,21,150.1,502,0.19,784,0,1,0,1,0,1,1,0,0,4,10.725974025974025,10.592222222222222,45,253,146,9,0
 Ziguinchor,60,1,Deuxième Session,Passable,10.0,PASSE,1,2018,F,S2,LYCEE DJIGNABO,O,Académie de Ziguinchor,ZIGUINCHOR,LYCEE DJIGNABO,1,Pass,ADM,1,1999,13.34,9.84,9.76,9.57,7,10,15,5,8,14,0.0,0.0,0.0,271,10.42,10.42,10.53,19,172.0,151,10.0,367,0,1,0,0,1,1,0,2,0,0,10.608695652173912,10.711428571428572,122,209,118,15,10
 Dakar,30,1,Deuxième Session,NULL,8.82,NON ADMIS,1,2018,F,S2,LYCEE CAMP MARCHAND DE RUFISQUE,O,Académie de Rufisque,RUFISQUE,LYCEE MODERNE DE RUFISQUE,2,Pass,ADM,1,1997,10.74,11.13,13.17,12.07,14,12,7,6,6,8,0.0,0.0,0.0,260,10.0,10.0,11.18,21,155.79999999999998,414,8.82,523,0,1,0,0,1,1,0,0,0,4,10.467735849056604,10.449444444444445,93,99,134,10,0
 Dakar,60,1,Deuxième Session,Passable,10.71,PASSE,1,2018,F,S2,LYCEE BANQUE ISLAMIQUE,O,Académie de Pikine - Guédiawaye,GUEDIAWAYE,ECOLE NANSEN,2,Pass,ADM,1,1996,11.8,12.69,14.36,13.88,8,13,10,4,11,10,0.0,0.0,0.0,260,10.0,10.0,10.47,22,149.15,518,10.71,235,0,1,0,0,1,1,0,2,0,0,10.725974025974025,10.639425287356321,32,95,23,9,0
 Dakar,15,1,Deuxième Session,NULL,4.51,NON ADMIS,1,2018,F,S2,LYCEE BLAISE DIAGNE,O,Académie de Dakar,DAKAR,LYCEE LAMINE GUEYE,2,Pass,ADM,1,1997,12.11,10.88,10.69,11.0,6,10,10,5,11,12,0.0,0.0,0.0,262,10.08,10.08,9.53,21,138.7,649,4.51,700,0,1,0,0,1,1,0,0,0,4,10.54820754716981,10.512179487179488,11,96,123,0,0
