REGION_DE_NAISSANCE,CREDIT,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Type candidature,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Résultat,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,COME,AFTA,EPAT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1,S1,S2,S3,Homme,Femme,Série_Encode,Sexe_Encode,RESULTAT_Encode,SESSION_Encode,MENTION_Encode,Academie perf.,Residence perf.,Résidence_Encode,Ets. de provenance_Encode,Centre d'Ec._Encode,Académie de l'Ets. Prov._Encode,REGION_DE_NAISSANCE_Encode
 Dakar,60,1,Première Session,Passable,11.61,PASSE,1,2018,M,S1,LYCEE DE SEBIKOTANE,O,Académie de Rufisque,SEBIKOTANE,LYCEE DE SEBIKOTANE,1,Pass,ADM,2,1995,13.43,12.89,11.06,11.13,11,8,8,5,6,6.0,0.0,0.0,0.0,230,8.52,10.59,13.0,23,247.0,99,111.61,45,1,0,0,1,0,0,1,2,1,0,10.668399999999998,10.6275,70,95,72,10,0
 Thiès,15,1,Deuxième Session,NULL,3.34,NON ADMIS,1,2018,M,S2,LYCEE AHMADOU NDACK SECK THIES,O,Académie de Thiès,THIES,ECOLE ELEMENTAIRE GERMAINE LE GOFF DE THIES,1,Pass,ADM,2,1998,11.18,9.1,0.0,0.0,13,8,9,11,5,4.0,0.0,0.0,0.0,208,8.0,11.54,12.65,20,165.0,258,3.34,327,0,1,0,1,0,1,1,0,0,4,10.926122448979593,11.295625,76,33,18,14,9
 Dakar,60,1,Première Session,Assez-Bien,13.43,PASSE,1,2018,M,S1,LYCEE DE MBAO,O,Académie de Pikine - Guédiawaye,MBAO,LYCEE DE MBAO,2,ABien,ADM,1,1996,14.89,14.7,13.16,13.13,13,13,10,11,9,8.0,0.0,0.0,0.0,324,12.0,12.0,13.0,22,299.25,24,113.43,13,1,0,0,1,0,0,1,2,1,1,10.693384615384616,10.722727272727273,42,75,54,9,0
 Kaolack,43,1,Deuxième Session,NULL,8.9,AUTORISE,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,O,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,Pass,ADM,1,2011,10.39,12.9,12.05,11.96,16,11,9,6,7,6.0,0.0,0.0,0.0,260,10.0,10.0,10.71,18,220.0,165,8.9,179,0,1,0,1,0,1,1,1,0,4,10.863333333333333,11.245,29,139,12,4,3
 Tambacounda,45,1,Deuxième Session,NULL,7.89,AUTORISE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,O,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,2,ABien,ADM,1,1997,15.07,12.3,14.03,13.48,18,18,8,13,12,3.0,0.0,0.0,0.0,314,12.08,12.08,12.71,21,275.5,45,7.89,214,0,1,0,1,0,1,1,1,0,4,11.0,11.202,73,123,89,13,8
 Kaolack,60,1,Première Session,Assez-Bien,12.76,PASSE,1,2018,M,S1,LYCEE DE PIKINE,O,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,Pass,ADM,1,1999,15.29,12.29,12.04,12.3,12,10,10,3,11,5.0,0.0,0.0,0.0,271,10.04,10.04,11.0,19,278.0,41,112.76,26,1,0,0,1,0,0,1,2,1,1,10.693384615384616,10.663333333333332,20,90,97,9,3
 Dakar,43,1,Deuxième Session,NULL,9.35,AUTORISE,1,2017,F,S1,LYCEE CHERIF SAMSIDINE AIDARA,O,Académie de Kolda,VELINGARA,ECOLE ELEMENTAIRE THIERNO SOUAIBOU SOUARE,1,Pass,ADM,2,1998,13.69,10.81,11.64,11.36,5,10,12,7,5,7.0,0.0,0.0,0.0,216,8.0,10.15,10.5,21,205.0,196,9.35,162,1,0,0,0,1,0,0,1,0,4,11.098181818181818,10.26,80,49,20,5,0
 Kaolack,47,1,Deuxième Session,NULL,9.18,AUTORISE,1,2018,M,S2,LYCEE DE THIAROYE,O,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,1,Pass,ADM,1,1996,12.51,10.24,11.79,10.56,13,14,11,7,8,5.0,0.0,0.0,0.0,260,10.0,10.0,10.53,22,201.0,200,9.18,170,0,1,0,1,0,1,1,1,0,4,10.693384615384616,10.695217391304348,60,100,77,9,3
 Tambacounda,60,1,Première Session,Passable,10.9,PASSE,1,2018,M,S2,LYCEE MAME CHEIKH MBAYE,O,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,ADM,2,2011,13.43,10.66,11.29,10.89,13,8,1,13,4,5.0,0.0,0.0,0.0,212,8.15,11.15,10.88,19,175.0,239,110.9,66,0,1,0,1,0,1,1,2,1,0,11.0,11.202,73,123,89,13,8
 Dakar,60,1,Première Session,Passable,10.7,PASSE,1,2018,M,S1,ECOLE PRIVEE DAVID DIOP MENDES,O,Académie de Pikine - Guédiawaye,MBAO,LYCEE DE MBAO,1,ABien,ADM,1,2015,15.43,15.21,13.89,14.13,14,13,11,10,11,6.0,0.0,0.0,0.0,331,12.26,12.26,13.5,19,334.0,6,110.7,77,1,0,0,1,0,0,1,2,1,0,10.693384615384616,10.722727272727273,42,13,54,9,0
 Dakar,60,1,Première Session,Passable,10.85,PASSE,1,2018,F,S1,LYCEE JOHN F KENNEDY,O,Académie de Dakar,DAKAR,LYCEE TECHNIQUE INDUSTRIEL DELAFOSSE,1,Pass,ADM,2,2000,15.07,12.07,10.67,9.07,7,9,10,8,10,7.0,0.0,0.0,0.0,239,8.85,12.22,13.5,19,227.0,152,110.85,70,1,0,0,0,1,0,0,2,1,0,11.080526315789474,10.754516129032258,7,114,101,0,0
 Thiès,60,1,Première Session,Assez-Bien,13.24,PASSE,1,2018,M,S1,LYCEE ABABACAR SY,O,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,1,ABien,ADM,1,2005,13.32,13.98,14.5,14.31,13,15,9,11,8,9.0,0.0,0.0,0.0,330,12.22,12.22,14.0,21,327.0,9,113.24,16,1,0,0,1,0,0,1,2,1,1,10.926122448979593,11.154,77,31,23,14,9
 Tambacounda,43,1,Deuxième Session,NULL,9.42,AUTORISE,1,2018,F,S1,LYCEE MAME CHEIKH MBAYE,O,Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,1,Pass,ADM,1,2000,17.07,12.68,12.71,13.16,8,11,8,16,12,8.0,0.0,0.0,0.0,281,10.41,10.41,9.5,18,248.0,97,9.42,158,1,0,0,0,1,0,0,1,0,4,11.0,11.202,73,123,89,13,8
 Dakar,25,1,Deuxième Session,NULL,6.83,NON ADMIS,1,2018,M,S2,LYCEE SEYDINA ISSA ROHOU LAHI,O,Académie de Pikine - Guédiawaye,GUEDIAWAYE,ECOLE NANSEN,1,Pass,ADM,1,1999,10.09,11.89,12.57,10.32,10,11,13,8,6,9.0,0.0,0.0,0.0,260,10.0,10.0,10.0,19,166.0,253,6.83,247,0,1,0,1,0,1,1,0,0,4,10.693384615384616,10.663333333333332,20,134,21,9,0
 Kaolack,60,1,Deuxième Session,Passable,11.82,PASSE,1,2018,M,S2,LYCEE DE LATMINGUE,O,Académie de Kaolack,KOUTAL,LYCEE DE KOUTAL,1,ABien,ADM,1,2010,11.53,12.67,11.54,12.56,14,15,9,8,13,11.0,0.0,0.0,0.0,312,12.0,12.0,13.29,18,246.0,102,11.82,105,0,1,0,1,0,1,1,2,0,0,10.863333333333333,11.666666666666666,37,72,51,4,3
