REGION_DE_NAISSANCE,CREDIT,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Type candidature,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Résultat,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,COME,AFTA,EPAT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1,S1,S2,S3,Homme,Femme,Série_Encode,Sexe_Encode,RESULTAT_Encode,SESSION_Encode,MENTION_Encode,Academie perf.,Residence perf.,Résidence_Encode,Ets. de provenance_Encode,Centre d'Ec._Encode,Académie de l'Ets. Prov._Encode,REGION_DE_NAISSANCE_Encode
 Louga,10,1,Deuxième Session,NULL,3.78,NON ADMIS,1,2018,M,S2,LYCEE DE MBAO,O,Académie de Pikine - Guédiawaye,MBAO,ECOLE ELEMENTAIRE LGI MBAO,2,Pass,ADM,2,2006,10.52,10.01,11.33,9.17,9,12,12,6,5,9,0.0,0.0,0.0,245,9.42,11.96,12.88,20,153.9,538,3.78,904,0,1,0,1,0,1,1,0,0,4,10.529097744360902,10.765172413793103,74,200,23,9,5
 Saint-Louis,35,1,Deuxième Session,NULL,8.17,NON ADMIS,1,2018,M,S2,LYCEE CHARLES DEGAULLE,O,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,2,Pass,ADM,2,2003,0.0,0.0,0.0,0.0,10,13,11,9,3,6,0.0,0.0,0.0,249,9.58,10.0,10.29,23,168.15,272,8.17,607,0,1,0,1,0,1,1,0,0,4,10.754035087719299,10.278,121,127,175,11,7
 Matam,45,1,Deuxième Session,NULL,9.61,AUTORISE,1,2018,M,S2,LYCEE DE THILOGNE,O,Académie de Matam,THILOGNE,LYCEE DE THILOGNE,1,Pass,ADM,1,1999,12.36,13.5,13.41,13.57,8,13,10,10,10,10,0.0,0.0,0.0,276,10.62,10.62,10.47,20,165.0,329,9.61,412,0,1,0,1,0,1,1,1,0,4,10.74148148148148,10.385,143,267,140,8,6
 Thiès,14,1,Deuxième Session,NULL,7.52,NON ADMIS,1,2018,M,S2,LYCEE DE MEDINA FALL,O,Académie de Thiès,THIES,LYCEE D' ENSEIGNEMENT TECHNIQUE ET DE FORMATION PR,2,Pass,ADM,1,2003,11.35,11.36,12.25,11.19,10,10,11,11,8,10,0.0,0.0,0.0,260,10.0,10.0,10.0,22,142.5,790,7.52,680,0,1,0,1,0,1,1,0,0,4,10.54970588235294,10.443461538461538,142,204,34,14,9
 Thiès,5,1,Deuxième Session,NULL,3.5,NON ADMIS,1,2018,M,S2,LYCEE DE FAHU II,O,Académie de Thiès,THIES,CEM MAMADOU DIAW THIES,1,Pass,ADM,1,2000,13.42,11.59,11.15,11.59,13,10,9,11,17,6,0.0,0.0,0.0,260,10.0,10.0,9.47,18,178.0,166,3.5,920,0,1,0,1,0,1,1,0,0,4,10.54970588235294,10.443461538461538,142,166,10,14,9
 Thiès,21,1,Deuxième Session,NULL,8.29,NON ADMIS,1,2018,M,S2,LYCEE CHEIKH MOURATH NDAO,O,Académie de Thiès,MEKHE,CEM  CHEIKH MOURATH NDAO DE MEKHE,1,Pass,ADM,2,2009,10.0,12.16,10.19,10.33,12,9,5,7,4,6,0.0,0.0,0.0,208,8.0,10.65,12.35,19,163.0,345,8.29,595,0,1,0,1,0,1,1,0,0,4,10.54970588235294,10.262727272727274,80,130,0,14,9
 Dakar,30,1,Deuxième Session,NULL,8.2,NON ADMIS,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,O,Académie de Kaolack,KAOLACK,COLLEGE PRIVE MBOUTOU SOW,2,Pass,ADM,1,1999,11.17,9.67,11.75,10.08,10,15,11,5,9,7,0.0,0.0,0.0,260,10.0,10.0,10.71,19,194.75,63,8.2,603,0,1,0,1,0,1,1,0,0,4,10.556461538461537,10.403962264150943,52,322,17,4,0
 Dakar,45,1,Deuxième Session,NULL,9.99,AUTORISE,1,2018,M,S2,LYCEE DE THIAROYE,O,Académie de Pikine - Guédiawaye,PIKINE,LYCEE DE THIAROYE,2,Pass,ADM,2,2015,11.58,12.32,9.69,10.35,9,14,7,4,6,4,0.0,0.0,0.0,216,8.31,10.0,10.76,20,171.0,236,9.99,366,0,1,0,1,0,1,1,1,0,4,10.529097744360902,10.27,113,264,139,9,0
 Thiès,50,1,Deuxième Session,NULL,9.63,AUTORISE,1,2018,M,S2,LYCEE ABABACAR SY,O,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,2,Pass,ADM,2,2009,11.95,11.85,10.38,9.85,6,13,7,8,10,8,0.0,0.0,0.0,243,9.35,11.19,11.47,20,145.35,724,9.63,409,0,1,0,1,0,1,1,1,0,4,10.54970588235294,10.565833333333332,145,112,26,14,9
 Kolda,14,1,Deuxième Session,NULL,7.21,NON ADMIS,1,2018,M,S2,LYCEE ALPHA MOLO BALDE,O,Académie de Kolda,KOLDA,LYCEE ALPHA MOLO BALDE,2,Pass,ADM,1,2004,14.7,11.68,10.67,10.74,9,12,10,14,5,7,0.0,0.0,0.0,260,10.0,10.0,9.35,21,153.9,538,7.21,715,0,1,0,1,0,1,1,0,0,4,10.615862068965518,10.507222222222222,60,118,29,5,4
